Gender,Age at time of application,Year of Application,A-levels scores,Education,University Name,Address,Current Employment,Current Employment Sector,Current Annual Income,References Submitted,Refree 1,Refree 2,Refree 3,Was Hired by a Company within 6 months
Non-binary,41,2008,55,Law,UNIVERSITY OF HUDDERSFIELD,Hampshire,Salaried,Arts,80274,1,Salaried:Accounting,Contractual:Arts,Contractual:Law,0
Female,43,2014,54,STEM,NORTHUMBRIA UNIVERSITY NEWCASTLE,Derbyshire,Contractual,Accounting,105692,0,NA,NA,NA,0
Female,40,2018,70,Law,UNIVERSITY OF ESSEX,Berkshire,Self Business,IT,99230,1,Salaried:Accounting,Salaried:Transportation,Contractual:Engineering,1
Trans,47,1999,59,Law,GLASGOW SCHOOL OF ART.,Radnorshire,None,None,0,1,Salaried:Arts,Self Business:IT,Salaried:Health,0
Non-binary,40,2000,67,Law,PLYMOUTH UNIVERSITY,Cumbria,None,None,0,0,NA,NA,NA,0
Non-binary,44,2012,53,STEM,PRIFYSGOL ABERYSTWYTH,Tyrone,Self Business,Law,82518,0,NA,NA,NA,0
Trans,46,2001,62,Arts,UNIVERSITY OF READING,East Renfrewshire,Self Business,Health,90895,1,Self Business:Health,Self Business:Transportation,Salaried:Health,0
Non-binary,48,2021,74,STEM,UNIVERSITY OF READING,Berkshire,Self Business,Health,109613,1,Self Business:Transportation,Salaried:IT,Contractual:Engineering,1
Non-binary,43,2017,65,Law,UNIVERSITY OF LEICESTER,West Dunbartonshire,Contractual,Law,87304,0,NA,NA,NA,0
Non-binary,46,2012,86,Law,UNIVERSITY OF LINCOLN,Clackmannanshire,Salaried,IT,75726,1,Self Business:Arts,Salaried:IT,Contractual:Law,1
Non-binary,45,2001,78,STEM,"UNIVERSITY OF NOTTINGHAM, THE",Glasgow City,Contractual,Accounting,119519,1,Self Business:IT,Salaried:Arts,Self Business:Arts,0
Female,45,2020,89,Law, University of Oxford,South Yorkshire,Self Business,Engineering,48547,1,Self Business:Law,Self Business:Accounting,Contractual:IT,1
Female,49,2015,86,Law,UNIVERSITY OF BRADFORD,Berkshire,Contractual,Accounting,124330,1,Self Business:Law,Salaried:Law,Contractual:Accounting,1
Trans,48,2014,43,Arts,UNIVERSITY COLLEGE BIRMINGHAM,Staffordshire,Salaried,Accounting,98850,1,Salaried:Law,Contractual:Accounting,Salaried:Transportation,0
Male,49,2001,79,Arts, University of Oxford,West Midlands,Salaried,Law,124425,1,Self Business:Transportation,Salaried:IT,Contractual:Health,1
Female,47,2000,79,Arts,SWANSEA METROPOLITAN UNIVERSITY,Eilean Siar,None,None,0,1,Salaried:Transportation,Self Business:Accounting,Contractual:Accounting,0
Male,44,2020,81,Business,UNIVERSITY OF ST ANDREWS,Aberdeen City,Contractual,Health,108708,1,Self Business:Health,Salaried:Health,Contractual:Transportation,1
Non-binary,40,2005,52,STEM,QUEEN MARY UNIVERSITY OF LONDON,East Sussex,Contractual,Arts,138917,1,Self Business:Engineering,Salaried:IT,Salaried:Accounting,0
Male,40,2001,47,Law,COVENTRY UNIVERSITY,Nottinghamshire,Salaried,Law,82619,1,Self Business:Arts,Contractual:Transportation,Contractual:Law,0
Male,40,2011,54,Arts,"ST MARY'S UNIVERSITY, TWICKENHAM",West Midlands,Salaried,IT,72054,1,Self Business:Accounting,Salaried:Arts,Contractual:Law,0
Male,45,2016,81,Law,University College London,Falkirk,Salaried,Engineering,45329,1,Self Business:Health,Salaried:Accounting,Contractual:Law,1
Trans,45,2012,73,Business,BOURNEMOUTH UNIVERSITY,Aberdeen City,Salaried,Law,86531,1,Contractual:Engineering,Salaried:Health,Self Business:Arts,0
Male,41,2016,51,STEM,ROEHAMPTON UNIVERSITY,East Sussex,None,None,0,1,Contractual:Accounting,Contractual:Engineering,Contractual:Law,0
Male,40,2014,87,Business,Universirt of Cambridge,Staffordshire,Contractual,IT,72047,1,Salaried:Law,Salaried:Transportation,Contractual:Accounting,1
Non-binary,45,2019,87,STEM,IMPERIAL COLLEGE LONDON,City of Edinburgh,Contractual,Law,146532,1,Self Business:IT,Salaried:Transportation,Contractual:Engineering,1
Male,44,1999,71,STEM,University College London,Buckinghamshire,Self Business,Transportation,123041,1,Salaried:Arts,Salaried:Transportation,Contractual:IT,1
Non-binary,45,2011,75,Arts,THE ROYAL CENTRAL SCHOOL OF SPEECH AND DRAMA,Kent,Self Business,Law,84149,1,Salaried:Health,Salaried:Engineering,Contractual:IT,1
Male,49,2010,89,Law,UNIVERSITY OF HERTFORDSHIRE,Surrey,Salaried,Arts,0,1,Self Business:Transportation,Self Business:Transportation,Contractual:Arts,1
Trans,47,2017,52,Business,UNIVERSITY OF GLASGOW,West Berkshire,None,None,0,1,Contractual:Arts,Contractual:Engineering,Contractual:IT,0
Trans,40,2011,46,Business,UNIVERSITY OF ESSEX,Cornwall,Salaried,Transportation,40244,0,NA,NA,NA,0
Female,43,2017,85,Arts,IMPERIAL COLLEGE LONDON,Perth and Kinross,Salaried,Law,132052,1,Salaried:IT,Salaried:IT,Contractual:Engineering,1
Male,42,2019,50,Arts,UNIVERSITY OF DURHAM,Denbighshire,Self Business,Health,127322,0,NA,NA,NA,0
Female,45,2019,89,STEM,UNIVERSITY OF WINCHESTER,Essex,Contractual,Transportation,78218,1,Salaried:Arts,Self Business:IT,Contractual:Transportation,1
Trans,47,2018,87,STEM,UNIVERSITY OF ABERTAY DUNDEE,Kent,Contractual,Engineering,0,1,Salaried:Arts,Salaried:Accounting,Contractual:Health,1
Male,42,2004,48,Arts,UNIVERSITY OF DURHAM,Shetland Islands,Salaried,IT,114278,0,NA,NA,NA,0
Non-binary,44,2000,78,STEM, University of Oxford,Hampshire,Contractual,Engineering,82888,1,Self Business:Health,Self Business:Accounting,Contractual:Law,1
Non-binary,48,2015,46,STEM,UNIVERSITY OF STRATHCLYDE,Lancashire,Salaried,Arts,68937,0,NA,NA,NA,0
Non-binary,47,2018,41,Arts,MIDDLESEX UNIVERSITY,City of Edinburgh,Contractual,Arts,87108,1,Salaried:Law,Contractual:Arts,Contractual:Arts,0
Non-binary,48,2011,77,Law,UNIVERSITY OF BATH (THE),Hampshire,Salaried,Law,76108,0,NA,NA,NA,0
Trans,43,2001,84,Law,WRITTLE COLLEGE,Essex,Salaried,Law,110324,1,Salaried:Engineering,Salaried:Transportation,Contractual:IT,1
Female,44,2006,81,Arts,University College London,East Sussex,Self Business,Engineering,0,1,Salaried:Transportation,Salaried:Accounting,Contractual:Arts,1
Trans,45,2015,59,Law,UNIVERSITY OF ULSTER,Highland,Salaried,Engineering,123168,1,Contractual:Accounting,Contractual:Transportation,Contractual:Transportation,0
Female,48,2022,40,STEM,"UNIVERSITY OF SALFORD, THE",Glasgow City,None,None,0,1,Salaried:Accounting,Self Business:Arts,Self Business:IT,0
Trans,40,2000,89,Arts,DE MONTFORT UNIVERSITY,Kent,Self Business,IT,122270,1,Self Business:Health,Self Business:Law,Contractual:Arts,1
Male,45,2010,50,Business,"ARTS UNIVERSITY BOURNEMOUTH, THE",North Lanarkshire,Salaried,Engineering,148094,1,Salaried:Arts,Contractual:Arts,Salaried:Health,0
Trans,41,2001,89,STEM,Universirt of Cambridge,East Lothian,Self Business,Health,145043,1,Self Business:Health,Salaried:Law,Contractual:Accounting,1
Male,41,2001,83,STEM,GLYNDWR UNIVERSITY,Glasgow City,Contractual,Engineering,92441,1,Self Business:Accounting,Self Business:Transportation,Contractual:Arts,1
Female,42,2003,51,STEM,ST MARY'S UNIVERSITY COLLEGE,Hertfordshire,Self Business,Engineering,94511,1,Self Business:Transportation,Contractual:Transportation,Contractual:Health,0
Female,43,2009,62,Law,NORTHUMBRIA UNIVERSITY NEWCASTLE,Durham,Salaried,IT,66195,0,NA,NA,NA,0
Female,41,2012,71,STEM,UNIVERSITY OF SOUTHAMPTON,Nottinghamshire,Self Business,IT,103894,0,NA,NA,NA,0
Trans,44,1998,52,Business,THE ROBERT GORDON UNIVERSITY,Glasgow City,Contractual,IT,71421,1,Contractual:Accounting,Contractual:Accounting,Contractual:Accounting,0
Non-binary,48,1998,67,STEM,UNIVERSITY OF HERTFORDSHIRE,Lincolnshire,None,None,0,1,Contractual:Arts,Contractual:Arts,Contractual:Arts,0
Female,44,2017,69,Law,QUEEN MARY UNIVERSITY OF LONDON,West Dunbartonshire,None,None,0,0,NA,NA,NA,0
Male,45,2012,69,Law,NORTHUMBRIA UNIVERSITY NEWCASTLE,Hertfordshire,None,None,0,0,NA,NA,NA,0
Male,46,1998,72,Arts,UNIVERSITY OF BIRMINGHAM,Merionethshire,Self Business,Law,77152,1,Salaried:Health,Contractual:Health,Self Business:Accounting,1
Trans,42,2009,40,STEM,"UNIVERSITY OF THE ARTS, LONDON",Hampshire,Self Business,Accounting,65791,0,NA,NA,NA,0
Trans,40,2012,52,Arts,"UNIVERSITY OF WORCESTER, THE",Kent,Contractual,Arts,40476,0,NA,NA,NA,0
Male,41,1998,55,Business,UNIVERSITY OF WARWICK,Devon,Self Business,Accounting,142638,0,NA,NA,NA,0
Trans,42,2004,69,Arts,UNIVERSITY CAMPUS SUFFOLK LTD,Midlothian,None,None,0,0,NA,NA,NA,0
Female,42,1999,87,Business,NORWICH UNIVERSITY OF THE ARTS,Armagh,Salaried,Health,81253,1,Salaried:Arts,Salaried:Law,Contractual:Arts,1
Female,43,2009,80,Business,THE ROYAL CENTRAL SCHOOL OF SPEECH AND DRAMA,Antrim,Contractual,Arts,82860,0,NA,NA,NA,0
Female,49,2003,53,Law,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,Orkney Islands,None,None,0,0,NA,NA,NA,0
Female,46,2020,65,STEM,UNIVERSITY OF SUNDERLAND,Moray,Salaried,Arts,66324,1,Salaried:Engineering,Salaried:Engineering,Contractual:Transportation,0
Female,45,2014,60,Arts,LONDON METROPOLITAN UNIVERSITY,Merseyside,None,None,0,1,Self Business:Law,Salaried:Transportation,Self Business:Transportation,0
Trans,42,2000,85,STEM,University College London,South Lanarkshire,Salaried,Law,0,1,Self Business:Law,Self Business:Law,Contractual:Accounting,1
Trans,47,2005,46,Law,NORTHUMBRIA UNIVERSITY NEWCASTLE,West Midlands,Salaried,Health,80423,0,NA,NA,NA,0
Non-binary,44,1999,53,Arts,THE ROYAL CENTRAL SCHOOL OF SPEECH AND DRAMA,Radnorshire,None,None,0,0,NA,NA,NA,0
Male,43,2007,85,STEM,IMPERIAL COLLEGE LONDON,Caernarvonshire,Salaried,Engineering,75842,1,Self Business:Transportation,Self Business:Accounting,Contractual:Transportation,1
Male,47,2018,64,Business,UNIVERSITY OF GREENWICH,South Lanarkshire,Self Business,Health,79915,0,NA,NA,NA,0
Non-binary,44,2004,70,Arts,THE UNIVERSITY OF BUCKINGHAM,Nottinghamshire,Self Business,Law,107289,0,NA,NA,NA,0
Trans,49,2011,60,Arts,LONDON METROPOLITAN UNIVERSITY,Inverclyde,Contractual,IT,69580,1,Contractual:Engineering,Salaried:Accounting,Salaried:Health,0
Trans,49,2003,63,Arts,"ST MARY'S UNIVERSITY, TWICKENHAM",Radnorshire,None,None,0,0,NA,NA,NA,0
Female,44,2003,84,Law,University College London,East Ayrshire,Contractual,Health,0,1,Self Business:Health,Self Business:Engineering,Contractual:Accounting,1
Male,45,2009,55,Law,LIVERPOOL HOPE UNIVERSITY,North Ayrshire,Contractual,Engineering,140350,1,Salaried:Health,Self Business:IT,Contractual:IT,0
Male,40,2000,76,STEM,GLASGOW CALEDONIAN UNIVERSITY,Dumfries and Galloway,None,None,0,1,Contractual:IT,Contractual:IT,Contractual:Accounting,0
Trans,44,2007,85,Arts,UNIVERSITY COLLEGE LONDON,Cheshire,Self Business,IT,0,1,Self Business:IT,Self Business:Arts,Contractual:Health,1
Non-binary,48,2021,54,STEM,UNIVERSITY OF LANCASTER,East Renfrewshire,Self Business,Health,94315,0,NA,NA,NA,0
Male,41,2002,42,Business,LEEDS METROPOLITAN UNIVERSITY,Shetland Islands,Contractual,Law,138475,0,NA,NA,NA,0
Trans,40,2000,86,STEM,THE UNIVERSITY OF BUCKINGHAM,Montgomeryshire,Salaried,IT,68917,1,Self Business:Arts,Self Business:Health,Self Business:Engineering,1
Trans,40,2014,89,Business,UNIVERSITY OF EXETER,Hertfordshire,Salaried,IT,80585,1,Salaried:Law,Salaried:Law,Contractual:Engineering,1
Trans,45,2020,47,Arts,NEWCASTLE UNIVERSITY,Down,Salaried,Transportation,49224,1,Self Business:Engineering,Contractual:Transportation,Self Business:Law,0
Non-binary,46,2008,88,Law,IMPERIAL COLLEGE LONDON,Hampshire,Self Business,Law,75211,1,Salaried:Engineering,Self Business:Health,Contractual:Health,1
Male,40,2003,61,Law,UNIVERSITY OF SUNDERLAND,East Ayrshire,None,None,0,0,NA,NA,NA,0
Trans,49,2008,56,STEM,UNIVERSITY OF STRATHCLYDE,Devon,Contractual,Health,55046,1,Salaried:Accounting,Contractual:Arts,Contractual:IT,0
Trans,43,2009,56,STEM,PLYMOUTH UNIVERSITY,Somerset,Salaried,IT,80011,1,Contractual:IT,Self Business:Engineering,Contractual:Law,0
Non-binary,47,2008,79,Law,UNIVERSITY OF LIVERPOOL,Dumfries and Galloway,None,None,0,1,Self Business:Engineering,Contractual:Health,Salaried:Arts,0
Non-binary,41,2018,40,STEM,UNIVERSITY OF THE HIGHLANDS AND ISLANDS,Argyll and Bute,None,None,0,0,NA,NA,NA,0
Trans,42,2017,58,Arts,UNIVERSITY OF THE WEST OF SCOTLAND,West Berkshire,None,None,0,0,NA,NA,NA,0
Female,42,2021,58,Business,SWANSEA METROPOLITAN UNIVERSITY,Orkney Islands,None,None,0,1,Salaried:IT,Self Business:Arts,Contractual:Transportation,0
Non-binary,41,2004,48,STEM,UNIVERSITY OF WINCHESTER,Moray,Salaried,Arts,49240,1,Salaried:Arts,Self Business:Accounting,Salaried:Transportation,0
Non-binary,41,2010,60,Business,BOURNEMOUTH UNIVERSITY,South Yorkshire,Contractual,IT,136786,1,Contractual:Accounting,Salaried:Transportation,Self Business:Health,0
Male,45,2002,49,Arts,NOTTINGHAM TRENT UNIVERSITY,South Lanarkshire,None,None,0,0,NA,NA,NA,0
Female,42,2019,89,STEM,Universirt of Cambridge,West Sussex,Salaried,Health,115330,1,Salaried:Accounting,Self Business:Transportation,Contractual:IT,1
Male,44,2002,70,Arts,UNIVERSITY OF LINCOLN,Northumberland,Self Business,Law,118669,1,Contractual:Arts,Contractual:IT,Contractual:IT,0
Trans,48,2013,58,STEM,LEEDS COLLEGE OF ART,Cumbria,Self Business,IT,146480,0,NA,NA,NA,0
Male,41,2011,50,Arts,UNIVERSITY OF STIRLING,North Ayrshire,None,None,0,0,NA,NA,NA,0
Non-binary,48,1998,43,STEM,UNIVERSITY OF BRISTOL,Flintshire,Salaried,IT,130107,1,Contractual:Accounting,Self Business:Engineering,Salaried:Arts,0
Non-binary,41,2016,69,STEM,UNIVERSITY COLLEGE BIRMINGHAM,Tyne and Wear,Contractual,Transportation,133027,0,NA,NA,NA,0
Male,49,2008,55,Business,UNIVERSITY OF SOUTHAMPTON,South Ayrshire,None,None,111286,0,NA,NA,NA,0
Non-binary,45,2016,67,Arts,THE ROYAL CENTRAL SCHOOL OF SPEECH AND DRAMA,Cumbria,Salaried,Transportation,43364,1,Contractual:Law,Contractual:Law,Contractual:Arts,0
Non-binary,40,2021,80,Business,THE CONSERVATOIRE FOR DANCE AND DRAMA,Cheshire,None,None,0,1,Contractual:Accounting,Contractual:Transportation,Salaried:Law,0
Non-binary,47,2006,60,Arts,UNIVERSITY OF EAST LONDON,Moray,Contractual,Accounting,145702,1,Contractual:Transportation,Contractual:Transportation,Self Business:Transportation,0
Trans,46,2009,70,Business,IMPERIAL COLLEGE LONDON,East Lothian,Salaried,Transportation,75712,1,Salaried:Health,Salaried:Arts,Contractual:Arts,1
Non-binary,48,2007,45,STEM,NEWCASTLE UNIVERSITY,Montgomeryshire,Self Business,Law,58583,1,Contractual:Engineering,Salaried:Law,Self Business:Transportation,0
Female,41,2021,64,Business,UNIVERSITY OF STIRLING,Orkney Islands,None,None,0,0,NA,NA,NA,0
Trans,44,2007,82,Law,GLASGOW CALEDONIAN UNIVERSITY,Merionethshire,Self Business,Engineering,74162,1,Salaried:Transportation,Self Business:Arts,Salaried:Arts,1
Non-binary,49,2005,76,Law,UNIVERSITY OF LANCASTER,Nottinghamshire,Contractual,Arts,88499,1,Self Business:Health,Contractual:IT,Self Business:Arts,0
Female,43,2001,49,STEM,UNIVERSITY OF CENTRAL LANCASHIRE,Durham,Contractual,Arts,94391,1,Contractual:Engineering,Contractual:Engineering,Contractual:Accounting,0
Trans,44,2021,74,Arts,UNIVERSITY OF WEST LONDON,Hertfordshire,Self Business,IT,129994,1,Self Business:Health,Self Business:Engineering,Contractual:Engineering,1
Trans,48,2003,66,Business,"UNIVERSITY OF NOTTINGHAM, THE",Caernarvonshire,Self Business,Engineering,79538,0,NA,NA,NA,0
Non-binary,44,2003,58,Law,UNIVERSITY OF THE HIGHLANDS AND ISLANDS,Eilean Siar,Contractual,Arts,98260,1,Self Business:Transportation,Salaried:IT,Self Business:Accounting,0
Male,46,2018,55,Business,THE UNIVERSITY OF CUMBRIA,West Berkshire,None,None,0,1,Salaried:IT,Contractual:Law,Salaried:Transportation,0
Trans,44,2019,63,Arts,UNIVERSITY OF LANCASTER,Greater Manchester,Self Business,Arts,86264,1,Salaried:Accounting,Contractual:Transportation,Contractual:Law,0
Male,44,2012,83,Business,Universirt of Cambridge,Argyll and Bute,Contractual,IT,117948,1,Self Business:Transportation,Salaried:Accounting,Contractual:Transportation,1
Trans,49,2013,84,Arts,IMPERIAL COLLEGE LONDON,North Ayrshire,Salaried,Health,66575,1,Salaried:Health,Self Business:Accounting,Contractual:Arts,1
Trans,46,2008,85,STEM,University College London,Perth and Kinross,Self Business,Law,46131,1,Self Business:Health,Salaried:Engineering,Contractual:Health,1
Female,48,2001,81,Law,UNIVERSITY OF SURREY,Oxfordshire,Self Business,Accounting,84038,1,Salaried:IT,Self Business:Health,Contractual:Arts,1
Trans,46,2007,81,Business,University College London,Glasgow City,Contractual,IT,75377,1,Salaried:Accounting,Salaried:Arts,Contractual:Engineering,1
Trans,43,2006,89,STEM,BUCKINGHAMSHIRE NEW UNIVERSITY,Aberdeen City,Self Business,Health,77632,1,Salaried:Arts,Self Business:Health,Contractual:Engineering,1
Trans,48,2017,40,Business,SOUTHAMPTON SOLENT UNIVERSITY,Wiltshire,Contractual,Health,106594,1,Contractual:Transportation,Self Business:Law,Salaried:Arts,0
Female,43,2010,87,Arts,University College London,South Yorkshire,Self Business,Transportation,148345,1,Salaried:Transportation,Self Business:Transportation,Contractual:IT,1
Male,43,2022,89,Arts,Universirt of Cambridge,Aberdeenshire,Salaried,IT,45610,1,Self Business:Accounting,Self Business:IT,Contractual:IT,1
Trans,49,2022,46,Arts,DE MONTFORT UNIVERSITY,Tyne and Wear,Self Business,Health,79763,0,NA,NA,NA,0
Male,49,2019,85,Business,"UNIVERSITY OF THE WEST OF ENGLAND, BRISTOL",Kent,Contractual,Law,0,1,Salaried:Arts,Self Business:Engineering,Contractual:Arts,1
Female,43,2004,44,Law,QUEEN'S UNIVERSITY OF BELFAST,Dundee City,None,None,0,0,NA,NA,NA,0
Trans,44,2022,44,STEM,NEWCASTLE UNIVERSITY,Denbighshire,None,None,0,0,NA,NA,NA,0
Male,40,2020,80,Arts,"UNIVERSITY OF WORCESTER, THE",Glamorgan,None,None,0,0,NA,NA,NA,0
Non-binary,47,2020,76,Law,"ST. GEORGE'S, UNIVERSITY OF LONDON",Caernarvonshire,None,None,101784,0,NA,NA,NA,0
Trans,44,2006,85,Business,ROEHAMPTON UNIVERSITY,Perth and Kinross,Self Business,Engineering,139457,1,Self Business:Engineering,Self Business:Arts,Contractual:Accounting,1
Male,46,2003,69,Law,UNIVERSITY OF THE HIGHLANDS AND ISLANDS,Cleveland,None,None,0,0,NA,NA,NA,0
Trans,40,2003,50,Business,UNIVERSITY OF CAMBRIDGE,Dumfries and Galloway,Salaried,Arts,52378,1,Salaried:Engineering,Salaried:Arts,Self Business:Arts,0
Non-binary,42,2007,64,Business,EDINBURGH NAPIER UNIVERSITY,Devon,Self Business,Transportation,102857,0,NA,NA,NA,0
Male,40,2005,59,Law,IMPERIAL COLLEGE LONDON,Derbyshire,None,None,0,1,Contractual:Transportation,Self Business:Arts,Self Business:Arts,0
Trans,40,2002,52,STEM,MIDDLESEX UNIVERSITY,Warwickshire,Contractual,Arts,113049,1,Salaried:Engineering,Self Business:IT,Self Business:IT,0
Trans,49,2009,60,Business,BIRMINGHAM CITY UNIVERSITY,Devon,Salaried,Health,93335,1,Salaried:Accounting,Salaried:IT,Salaried:Arts,0
Trans,48,2014,47,Law,UNIVERSITY OF ESSEX,Northamptonshire,None,None,0,1,Contractual:IT,Salaried:IT,Self Business:Arts,0
Male,46,2016,89,STEM,PRIFYSGOL ABERYSTWYTH,Essex,Contractual,Law,78391,1,Self Business:Accounting,Salaried:Law,Contractual:IT,1
Male,43,2001,52,Arts,UNIVERSITY OF DURHAM,Hampshire,None,None,0,0,NA,NA,NA,0
Trans,42,2021,50,Law,THE UNIVERSITY OF CHICHESTER,Montgomeryshire,None,None,0,0,NA,NA,NA,0
Male,40,2014,87,STEM,QUEEN MARY UNIVERSITY OF LONDON,Surrey,Salaried,Arts,0,1,Self Business:Arts,Salaried:Arts,Contractual:Transportation,1
Non-binary,48,2005,67,Arts,TEESSIDE UNIVERSITY,Shropshire,None,None,0,1,Self Business:Engineering,Contractual:Law,Self Business:Accounting,0
Non-binary,40,1999,51,Business,ROYAL HOLLOWAY COLLEGE AND BEDFORD NEW COLLEGE,Cornwall,Contractual,IT,80429,1,Contractual:Transportation,Self Business:Arts,Contractual:Transportation,0
Non-binary,49,2014,44,Law,UNIVERSITY OF GLASGOW,Montgomeryshire,Self Business,Law,40475,0,NA,NA,NA,0
Non-binary,46,2005,52,Law,UNIVERSITY OF SUSSEX,Glamorgan,Contractual,Transportation,135505,0,NA,NA,NA,0
Trans,44,2007,58,Business,UNIVERSITY OF HULL,Down,Self Business,IT,136675,1,Contractual:Accounting,Contractual:Engineering,Self Business:Arts,0
Trans,47,2005,80,Business,ROYAL HOLLOWAY COLLEGE AND BEDFORD NEW COLLEGE,Tyrone,Self Business,Transportation,64147,0,NA,NA,NA,0
Trans,46,2013,66,Arts,LONDON BUSINESS SCHOOL,Cheshire,Salaried,Arts,149665,0,NA,NA,NA,0
Male,44,2009,55,Business,UNIVERSITY OF CENTRAL LANCASHIRE,Essex,Contractual,IT,77111,1,Self Business:Arts,Salaried:Law,Contractual:Accounting,0
Non-binary,47,2007,63,Business,UNIVERSITY OF BOLTON,Devon,None,None,0,0,NA,NA,NA,0
Trans,43,2011,47,Business,SWANSEA METROPOLITAN UNIVERSITY,Armagh,Self Business,Law,144061,0,NA,NA,NA,0
Trans,41,2012,54,Law,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,Caernarvonshire,None,None,0,1,Salaried:Transportation,Contractual:Engineering,Contractual:Engineering,0
Male,45,2004,46,Arts,UNIVERSITY OF CAMBRIDGE,Greater Manchester,Self Business,Health,78585,1,Salaried:Arts,Contractual:IT,Contractual:Health,0
Non-binary,43,2014,75,Law,UNIVERSITY OF LIVERPOOL,Hertfordshire,Contractual,Health,71345,1,Salaried:IT,Salaried:Accounting,Contractual:Health,1
Trans,48,2005,41,STEM,UNIVERSITY OF ST MARK & ST JOHN,Hertfordshire,Contractual,IT,83251,0,NA,NA,NA,0
Non-binary,42,2009,82,Business,ROYAL HOLLOWAY COLLEGE AND BEDFORD NEW COLLEGE,Essex,Self Business,Health,131787,1,Self Business:Arts,Salaried:Health,Contractual:IT,1
Trans,47,2001,64,STEM,GUILDHALL SCHOOL OF MUSIC & DRAMA,Orkney Islands,None,None,0,1,Salaried:Health,Salaried:Transportation,Contractual:Transportation,0
Trans,49,2002,51,STEM,NORTHUMBRIA UNIVERSITY NEWCASTLE,Cheshire,Self Business,IT,94210,0,NA,NA,NA,0
Trans,43,2022,45,Arts,INSTITUTE OF CANCER RESEARCH: ROYAL CANCER HOSPITAL (THE),Angus,Self Business,Transportation,48100,1,Self Business:Health,Salaried:IT,Salaried:IT,0
Male,45,2012,89,STEM,UNIVERSITY OF ULSTER,Kent,Salaried,Accounting,102680,1,Self Business:Arts,Self Business:Arts,Contractual:Arts,1
